repeat,fold,feature_set,n_features,n_train,n_test,average_precision,matthews_corrcoef,balanced_accuracy,f1
0,0,phosphoproteome,72361,85,21,0.48972144413320884,-0.05504818825631803,0.4722222222222222,0.42105263157894735
0,1,phosphoproteome,72361,84,22,0.5993073593073592,0.25877458475338283,0.625,0.5555555555555556
0,2,phosphoproteome,72361,85,21,0.3853080165257668,-0.12171612389003691,0.4444444444444444,0.26666666666666666
0,3,phosphoproteome,72361,85,21,0.4270118310482087,-0.26967994498529685,0.3727272727272727,0.23529411764705882
0,4,phosphoproteome,72361,85,21,0.5117460317460317,0.05504818825631803,0.5272727272727272,0.5454545454545454
0,0,multi_ptm,91692,85,21,0.5822276488943156,0.16666666666666666,0.5833333333333333,0.5714285714285714
0,1,multi_ptm,91692,84,22,0.4923086717204364,0.08333333333333333,0.5416666666666667,0.5
0,2,multi_ptm,91692,85,21,0.47572007360449053,-0.08492077756084468,0.45833333333333337,0.35294117647058826
0,3,multi_ptm,91692,85,21,0.5265463702963703,-0.08528028654224416,0.4636363636363636,0.26666666666666666
0,4,multi_ptm,91692,85,21,0.5742857142857143,0.05504818825631803,0.5272727272727272,0.5454545454545454
1,0,phosphoproteome,72361,84,22,0.4067179144385027,-0.08333333333333333,0.45833333333333337,0.45454545454545453
1,1,phosphoproteome,72361,85,21,0.5478208519875187,-0.027777777777777776,0.48611111111111116,0.47619047619047616
1,2,phosphoproteome,72361,85,21,0.41298474916895966,-0.045454545454545456,0.4772727272727273,0.47619047619047616
1,3,phosphoproteome,72361,85,21,0.5662023162023162,0.3042903097250923,0.6388888888888888,0.5333333333333333
1,4,phosphoproteome,72361,85,21,0.6691563042220936,0.26593594178615615,0.6045454545454545,0.42857142857142855
1,0,multi_ptm,91692,84,22,0.4535897487445475,-0.08333333333333333,0.45833333333333337,0.45454545454545453
1,1,multi_ptm,91692,85,21,0.48463265129931804,0.16666666666666666,0.5833333333333333,0.5714285714285714
1,2,multi_ptm,91692,85,21,0.4038489361515677,-0.06741998624632421,0.46818181818181814,0.35294117647058826
1,3,multi_ptm,91692,85,21,0.4415422631108905,-0.12171612389003691,0.4444444444444444,0.26666666666666666
1,4,multi_ptm,91692,85,21,0.519757012852988,0.2412090756622109,0.6090909090909091,0.5
2,0,phosphoproteome,72361,84,22,0.48374713521772345,0.06900655593423542,0.5333333333333333,0.4444444444444444
2,1,phosphoproteome,72361,85,21,0.5377974313268431,-0.14545454545454545,0.42727272727272725,0.4
2,2,phosphoproteome,72361,85,21,0.5310217016099369,0.027777777777777776,0.5138888888888888,0.4444444444444444
2,3,phosphoproteome,72361,85,21,0.6175910119292471,0.3402785236893603,0.6,0.3333333333333333
2,4,phosphoproteome,72361,85,21,0.5239721779195463,0.0700140042014005,0.5277777777777778,0.3076923076923077
2,0,multi_ptm,91692,84,22,0.4774283559577677,-0.1,0.45,0.4
2,1,multi_ptm,91692,85,21,0.5506204906204907,0.13762047064079508,0.5681818181818181,0.5263157894736842
