permutation,fold,arm,ap,seconds
0,0,fixed,0.583862,1.756
0,1,fixed,0.774816,0.052
0,2,fixed,0.370824,0.058
0,3,fixed,0.561956,0.113
0,4,fixed,0.462487,0.131
0,5,fixed,0.390626,0.051
0,6,fixed,0.605450,0.112
0,7,fixed,0.727769,0.099
0,8,fixed,0.696085,0.064
0,9,fixed,0.504960,0.025
0,10,fixed,0.755406,0.069
0,11,fixed,0.767178,0.101
0,12,fixed,0.406603,0.059
0,13,fixed,0.433775,0.030
0,14,fixed,0.609524,0.058
0,15,fixed,0.783167,0.042
0,16,fixed,0.461538,0.131
0,17,fixed,0.548296,0.085
0,18,fixed,0.587948,0.100
0,19,fixed,0.694321,0.113
0,20,fixed,0.803963,0.055
0,21,fixed,0.552306,0.061
0,22,fixed,0.591992,0.066
0,23,fixed,0.660185,0.125
0,24,fixed,0.238846,0.058
0,25,fixed,0.570668,0.042
0,26,fixed,0.542287,0.063
0,27,fixed,0.707713,0.066
0,28,fixed,0.820298,0.043
0,29,fixed,0.630151,0.058
0,30,fixed,0.733464,0.061
0,31,fixed,0.547296,0.068
0,32,fixed,0.388069,0.063
0,33,fixed,0.591522,0.060
0,34,fixed,0.689796,0.050
0,35,fixed,0.675673,0.115
0,36,fixed,0.579513,0.050
0,37,fixed,0.540717,0.096
0,38,fixed,0.425977,0.054
0,39,fixed,0.742967,0.048
0,40,fixed,0.425443,0.068
0,41,fixed,0.713241,0.058
0,42,fixed,0.640898,0.034
0,43,fixed,0.604771,0.116
0,44,fixed,0.426178,0.039
0,45,fixed,0.574192,0.045
0,46,fixed,0.475737,0.071
0,47,fixed,0.564410,0.064
0,48,fixed,0.644421,0.107
0,49,fixed,0.729588,0.039
1,0,fixed,0.432225,0.121
1,1,fixed,0.504261,0.064
1,2,fixed,0.608858,0.055
1,3,fixed,0.742436,0.108
1,4,fixed,0.625661,0.102
1,5,fixed,0.539354,0.063
1,6,fixed,0.420668,0.108
1,7,fixed,0.412956,0.074
1,8,fixed,0.582028,0.052
1,9,fixed,0.475591,0.019
1,10,fixed,0.603938,0.065
1,11,fixed,0.489453,0.100
1,12,fixed,0.461354,0.063
1,13,fixed,0.424482,0.031
1,14,fixed,0.447357,0.045
1,15,fixed,0.307205,0.037
1,16,fixed,0.425210,0.108
1,17,fixed,0.677912,0.076
1,18,fixed,0.429948,0.103
1,19,fixed,0.550329,0.114
1,20,fixed,0.384731,0.063
1,21,fixed,0.627002,0.047
1,22,fixed,0.607617,0.059
1,23,fixed,0.478399,0.112
1,24,fixed,0.404998,0.055
1,25,fixed,0.549611,0.038
1,26,fixed,0.320275,0.060
1,27,fixed,0.360104,0.038
1,28,fixed,0.464576,0.045
1,29,fixed,0.418930,0.054
1,30,fixed,0.550463,0.071
1,31,fixed,0.530638,0.064
1,32,fixed,0.577264,0.064
1,33,fixed,0.442905,0.057
1,34,fixed,0.228315,0.044
1,35,fixed,0.208538,0.091
1,36,fixed,0.521685,0.046
1,37,fixed,0.526500,0.098
1,38,fixed,0.374967,0.056
1,39,fixed,0.564457,0.048
1,40,fixed,0.467622,0.061
1,41,fixed,0.553665,0.068
1,42,fixed,0.487156,0.028
1,43,fixed,0.504757,0.099
1,44,fixed,0.449405,0.057
1,45,fixed,0.493017,0.041
1,46,fixed,0.232964,0.068
1,47,fixed,0.502194,0.056
1,48,fixed,0.676723,0.125
1,49,fixed,0.378667,0.041
2,0,fixed,0.641861,0.092
