permutation,auprc
0,0.504666317
1,0.417451337
2,0.507217754
3,0.471875743
4,0.573698013
5,0.558467499
6,0.454197919
7,0.382590375
8,0.480590880
9,0.374443754
10,0.433006199
11,0.447193319
12,0.417175989
13,0.384716841
14,0.407675599
15,0.483107584
16,0.517345306
17,0.399091796
18,0.410384031
19,0.466312854
20,0.409429633
21,0.423240815
22,0.408412771
23,0.512755976
24,0.467593402
25,0.470209043
26,0.473653412
27,0.459266209
28,0.380774332
29,0.419532503
30,0.514071347
31,0.378837599
32,0.417687315
33,0.432621731
34,0.426868444
35,0.483821016
36,0.653066033
37,0.375762353
38,0.374382225
39,0.477943000
40,0.477158865
41,0.405435943
42,0.453326292
43,0.459863973
44,0.539238817
45,0.407546747
46,0.410637214
47,0.450433195
48,0.548920867
49,0.430740199
