permutation,fold,arm,ap,seconds
0,0,nested,0.702432,0.070
0,1,nested,0.773332,0.046
0,2,nested,0.358860,0.030
0,3,nested,0.603456,0.084
0,4,nested,0.374207,0.054
0,5,nested,0.390626,0.046
0,6,nested,0.432494,0.068
0,7,nested,0.686404,0.068
0,8,nested,0.734158,0.042
0,9,nested,0.402623,0.107
1,0,nested,0.447775,0.126
1,1,nested,0.476790,0.052
1,2,nested,0.568780,0.033
1,3,nested,0.801290,0.052
1,4,nested,0.678241,0.055
1,5,nested,0.669111,0.118
1,6,nested,0.417485,0.062
1,7,nested,0.405625,0.056
1,8,nested,0.561111,0.105
1,9,nested,0.769004,0.139
2,0,nested,0.499444,0.058
2,1,nested,0.352590,0.107
2,2,nested,0.699557,0.025
2,3,nested,0.673373,0.114
2,4,nested,0.548658,0.066
2,5,nested,0.685797,0.077
2,6,nested,0.540302,0.086
2,7,nested,0.599847,0.038
2,8,nested,0.764272,0.117
2,9,nested,0.531793,0.026
3,0,nested,0.445467,0.034
3,1,nested,0.440179,0.055
3,2,nested,0.402757,0.027
3,3,nested,0.572809,0.071
3,4,nested,0.619328,0.047
3,5,nested,0.384307,0.041
3,6,nested,0.723905,0.066
3,7,nested,0.553997,0.028
3,8,nested,0.576616,0.037
3,9,nested,0.506491,0.037
4,0,nested,0.608334,0.049
4,1,nested,0.671090,0.078
4,2,nested,0.424358,0.064
4,3,nested,0.740903,0.049
4,4,nested,0.602225,0.069
4,5,nested,0.703836,0.082
4,6,nested,0.807883,0.070
4,7,nested,0.622763,0.073
4,8,nested,0.431023,0.037
4,9,nested,0.734916,0.066
5,0,nested,0.529719,0.103
5,1,nested,0.751725,0.026
5,2,nested,0.554481,0.038
5,3,nested,0.658481,0.078
5,4,nested,0.567016,0.066
5,5,nested,0.698863,0.045
5,6,nested,0.793372,0.052
5,7,nested,0.724011,0.060
5,8,nested,0.358775,0.055
5,9,nested,0.539425,0.070
6,0,nested,0.540510,0.045
6,1,nested,0.365799,0.047
6,2,nested,0.461784,0.051
6,3,nested,0.573275,0.025
6,4,nested,0.388192,0.058
6,5,nested,0.426584,0.067
6,6,nested,0.535675,0.076
6,7,nested,0.550092,0.095
6,8,nested,0.478017,0.063
6,9,nested,0.408111,0.064
7,0,nested,0.386703,0.085
7,1,nested,0.494364,0.065
7,2,nested,0.409448,0.063
7,3,nested,0.643906,0.039
7,4,nested,0.277138,0.162
7,5,nested,0.500000,0.011
7,6,nested,0.598012,0.026
7,7,nested,0.400333,0.038
7,8,nested,0.285714,0.018
7,9,nested,0.571638,0.037
8,0,nested,0.566538,0.052
8,1,nested,0.582630,0.039
8,2,nested,0.782375,0.058
8,3,nested,0.528740,0.046
8,4,nested,0.474892,0.051
8,5,nested,0.465721,0.057
8,6,nested,0.805851,0.129
8,7,nested,0.392979,0.073
8,8,nested,0.660327,0.040
8,9,nested,0.682592,0.037
9,0,nested,0.589936,0.136
9,1,nested,0.505296,0.040
9,2,nested,0.352188,0.065
9,3,nested,0.402101,0.120
9,4,nested,0.382729,0.066
9,5,nested,0.269639,0.042
9,6,nested,0.508494,0.033
9,7,nested,0.374902,0.034
9,8,nested,0.433895,0.044
9,9,nested,0.540637,0.056
10,0,nested,0.691031,0.061
10,1,nested,0.510743,0.026
10,2,nested,0.357071,0.039
10,3,nested,0.398839,0.063
10,4,nested,0.307658,0.049
10,5,nested,0.488839,0.036
10,6,nested,0.563068,0.038
10,7,nested,0.574103,0.106
10,8,nested,0.495796,0.042
10,9,nested,0.399630,0.135
11,0,nested,0.450520,0.065
11,1,nested,0.344762,0.067
11,2,nested,0.665952,0.052
11,3,nested,0.711151,0.084
11,4,nested,0.659980,0.077
11,5,nested,0.462041,0.038
11,6,nested,0.551879,0.063
11,7,nested,0.653549,0.126
11,8,nested,0.488718,0.114
11,9,nested,0.444407,0.073
12,0,nested,0.404617,0.084
12,1,nested,0.391642,0.054
12,2,nested,0.489989,0.047
12,3,nested,0.404458,0.048
12,4,nested,0.606180,0.050
12,5,nested,0.550142,0.043
12,6,nested,0.678152,0.066
12,7,nested,0.395506,0.043
12,8,nested,0.521577,0.124
12,9,nested,0.460050,0.038
13,0,nested,0.454545,0.016
13,1,nested,0.514980,0.054
13,2,nested,0.393877,0.112
13,3,nested,0.428571,0.015
13,4,nested,0.255096,0.081
13,5,nested,0.523057,0.046
13,6,nested,0.428571,0.012
13,7,nested,0.437834,0.067
13,8,nested,0.320973,0.076
13,9,nested,0.324020,0.065
14,0,nested,0.404267,0.042
14,1,nested,0.422047,0.063
14,2,nested,0.508161,0.038
14,3,nested,0.605007,0.031
14,4,nested,0.647799,0.033
14,5,nested,0.603765,0.027
14,6,nested,0.368058,0.088
14,7,nested,0.462727,0.049
14,8,nested,0.429592,0.101
14,9,nested,0.507568,0.113
15,0,nested,0.541508,0.070
15,1,nested,0.579720,0.060
15,2,nested,0.444338,0.108
15,3,nested,0.631333,0.066
15,4,nested,0.620376,0.048
15,5,nested,0.581581,0.044
15,6,nested,0.568140,0.096
15,7,nested,0.397470,0.068
15,8,nested,0.545334,0.037
15,9,nested,0.697307,0.067
16,0,nested,0.556699,0.118
16,1,nested,0.778918,0.062
16,2,nested,0.489886,0.047
16,3,nested,0.248214,0.053
16,4,nested,0.720962,0.054
16,5,nested,0.477913,0.038
16,6,nested,0.620367,0.133
16,7,nested,0.632666,0.134
16,8,nested,0.491407,0.054
16,9,nested,0.515027,0.039
17,0,nested,0.243013,0.106
17,1,nested,0.273232,0.058
17,2,nested,0.571560,0.056
17,3,nested,0.527370,0.143
17,4,nested,0.666667,0.014
17,5,nested,0.385236,0.044
17,6,nested,0.574462,0.145
17,7,nested,0.542513,0.123
17,8,nested,0.476190,0.019
17,9,nested,0.657295,0.035
18,0,nested,0.320341,0.038
18,1,nested,0.428571,0.031
18,2,nested,0.482899,0.030
18,3,nested,0.433739,0.114
18,4,nested,0.324154,0.028
18,5,nested,0.588116,0.070
18,6,nested,0.391075,0.039
18,7,nested,0.685776,0.044
18,8,nested,0.649546,0.020
18,9,nested,0.222850,0.052
19,0,nested,0.381879,0.068
19,1,nested,0.618663,0.083
19,2,nested,0.594138,0.097
19,3,nested,0.401939,0.058
19,4,nested,0.632633,0.045
19,5,nested,0.706915,0.044
19,6,nested,0.625647,0.030
19,7,nested,0.584511,0.072
19,8,nested,0.274050,0.061
19,9,nested,0.596890,0.029
20,0,nested,0.512626,0.105
20,1,nested,0.448724,0.042
20,2,nested,0.428571,0.014
20,3,nested,0.477026,0.040
