permutation,fold,threshold,C,l1_ratio,inner_ap
0,0,0.1,0.1,0.5,0.603430
0,1,0.3,0.1,0.1,0.532687
0,2,0.5,0.01,0.1,0.651711
0,3,0.1,1.0,0.5,0.581809
0,4,0.5,0.1,0.1,0.579247
0,5,0.5,1.0,0.1,0.620256
0,6,0.3,1.0,0.5,0.626860
0,7,0.3,1.0,0.5,0.500408
0,8,0.5,0.1,0.9,0.600442
0,9,0.5,1.0,0.9,0.668524
1,0,0.1,1.0,0.9,0.477195
1,1,0.1,0.1,0.9,0.542671
1,2,0.3,0.1,0.9,0.438564
1,3,0.1,0.1,0.1,0.497396
1,4,0.1,0.1,0.9,0.509026
1,5,0.1,1.0,0.9,0.508078
1,6,0.5,0.1,0.5,0.601139
1,7,0.1,0.1,0.1,0.543089
1,8,0.5,1.0,0.9,0.577078
1,9,0.1,1.0,0.9,0.466059
2,0,0.1,0.1,0.9,0.628345
2,1,0.5,1.0,0.9,0.699491
2,2,0.5,0.01,0.1,0.490686
2,3,0.1,1.0,0.9,0.527358
2,4,0.5,1.0,0.5,0.526783
2,5,0.5,1.0,0.9,0.535048
2,6,0.5,1.0,0.9,0.556629
2,7,0.5,0.1,0.9,0.622410
2,8,0.3,1.0,0.9,0.522625
2,9,0.3,0.01,0.1,0.613174
3,0,0.5,0.01,0.1,0.627119
3,1,0.3,1.0,0.1,0.555687
3,2,0.5,0.01,0.1,0.686267
3,3,0.5,1.0,0.5,0.557345
3,4,0.3,0.1,0.5,0.717819
3,5,0.3,0.1,0.9,0.598312
3,6,0.5,1.0,0.1,0.475443
3,7,0.5,0.01,0.1,0.617772
3,8,0.5,0.1,0.9,0.588275
3,9,0.3,0.01,0.1,0.593936
4,0,0.3,0.1,0.5,0.610324
4,1,0.1,1.0,0.1,0.645570
4,2,0.3,1.0,0.1,0.831982
4,3,0.5,0.01,0.1,0.635434
4,4,0.5,1.0,0.5,0.641693
4,5,0.5,1.0,0.5,0.631886
4,6,0.3,1.0,0.1,0.707862
4,7,0.1,0.1,0.9,0.625346
