fold,oof_ap,threshold,C,l1_ratio,inner_ap,seconds
0,0.5450201260727576,0.5,1.0,0.9,0.502201618795977,149.9
1,0.5742171580664872,0.3,0.1,0.9,0.6004560285841544,39.8
2,0.5689355941806922,0.5,1.0,0.1,0.524281283352608,42.8
3,0.7082341269841269,0.3,1.0,0.9,0.5369536234996352,37.6
4,0.4716622215074227,0.5,1.0,0.9,0.5478938255231359,33.3
5,0.46761779886779886,0.5,1.0,0.1,0.48872060297073494,31.3
6,0.5321470196470196,0.3,1.0,0.9,0.5471826542263948,32.1
7,0.4852160357320316,0.5,1.0,0.5,0.6190694521522427,33.0
8,0.5186113937661925,0.3,1.0,0.1,0.5129826758570836,31.8
9,0.481594611528822,0.5,0.01,0.1,0.5683068600190732,32.9
10,0.7606006493506493,0.3,1.0,0.1,0.5187523308063999,32.1
11,0.4936791240712809,0.1,1.0,0.5,0.48915820420871653,32.9
12,0.5933455433455433,0.5,1.0,0.1,0.5642283419129097,32.2
13,0.4520857951817704,0.3,0.01,0.1,0.5994683803854776,32.1
14,0.42707792207792206,0.3,0.1,0.1,0.5491565108501861,32.3
15,0.44992656552254073,0.3,0.1,0.9,0.6093542510740186,31.7
16,0.6435036640918994,0.1,1.0,0.9,0.46956388363064727,33.2
17,0.505055075643311,0.1,1.0,0.5,0.5340717177059472,32.8
18,0.6329761904761905,0.5,1.0,0.9,0.5281717925600002,33.2
19,0.4928532526984539,0.3,1.0,0.9,0.6215088470303143,30.9
20,0.44512363152843026,0.1,0.1,0.9,0.4837746833154643,32.4
21,0.41408409272186364,0.5,0.1,0.5,0.5991975149207167,32.5
22,0.5546546103821646,0.3,1.0,0.1,0.49821590193605597,32.2
23,0.5294685431527536,0.3,1.0,0.9,0.5634919703293262,32.5
24,0.44998246851188023,0.1,0.1,0.1,0.6222521591498332,33.2
25,0.5971876807403123,0.5,0.1,0.9,0.5216460206352296,32.2
26,0.5732363315696649,0.5,1.0,0.1,0.6089266390702205,32.6
27,0.48966481861218714,0.5,0.1,0.9,0.5784330476969733,32.9
28,0.7107863408521303,0.3,0.1,0.9,0.4847076279555919,32.0
29,0.5140247252747252,0.5,1.0,0.1,0.4765512746812304,32.4
30,0.5344810744810744,0.5,1.0,0.1,0.5369325034374295,31.6
31,0.49203020921287177,0.3,1.0,0.5,0.5619755870703473,32.2
32,0.5269527055904766,0.3,1.0,0.1,0.5303723071270174,32.9
33,0.6095729708887604,0.3,1.0,0.1,0.6206872766188024,33.5
34,0.4763966099260217,0.3,0.1,0.5,0.543564325296488,33.2
35,0.5415152464494569,0.5,1.0,0.9,0.46353557898922393,31.9
36,0.536290869624203,0.5,1.0,0.1,0.5496096187925679,32.2
37,0.6272536163145039,0.3,1.0,0.9,0.4673579328815738,33.3
38,0.4850674480318443,0.5,0.1,0.1,0.5680086553375361,32.2
39,0.5335371572871573,0.1,0.1,0.9,0.5563293973189186,31.9
40,0.4488315932433579,0.5,1.0,0.5,0.5127715042805513,31.5
41,0.3491990637501473,0.1,1.0,0.1,0.636914621734722,34.0
42,0.47088893887139505,0.3,0.01,0.1,0.5389461365727936,33.2
43,0.5382993447041434,0.3,1.0,0.9,0.5679678481454921,32.9
44,0.5793891780733886,0.3,0.1,0.9,0.5447715060768203,33.1
45,0.4848859035701141,0.3,0.1,0.9,0.560819590675897,32.0
46,0.3936793235812844,0.5,1.0,0.5,0.538251836946381,33.1
47,0.35254386709495067,0.5,1.0,0.1,0.49013026663856224,31.9
48,0.48283461636402814,0.5,1.0,0.9,0.5346173708212425,31.6
49,0.6853968253968254,0.5,0.1,0.1,0.4674794916691279,31.7
