fold,repeat,n_test,positive_test,average_precision
0,0,22,10,0.577020202020202
1,0,21,9,0.5439153439153439
2,0,21,9,0.554696083643452
3,0,21,10,0.6773412698412699
4,0,21,10,0.46601957983536935
5,1,22,10,0.540395987741189
6,1,21,9,0.6476579520697168
7,1,21,9,0.49757834757834757
8,1,21,10,0.4294673382173382
9,1,21,10,0.5751633986928104
10,2,22,10,0.7255194805194805
11,2,21,9,0.4824015127936696
12,2,21,9,0.6375202502653483
13,2,21,10,0.40537028846626366
14,2,21,10,0.38456798103856926
15,3,22,10,0.4899538451744334
16,3,21,9,0.6482383357383359
17,3,21,9,0.5032963462788024
18,3,21,10,0.5153796255344243
19,3,21,10,0.5110408953791307
20,4,22,10,0.5393045894593882
21,4,21,9,0.4216857503235212
22,4,21,9,0.5991656491656492
23,4,21,10,0.6606083837043589
24,4,21,10,0.43305199186778137
25,5,22,10,0.4765707976234292
26,5,21,9,0.48810095038165213
27,5,21,9,0.507983325965782
28,5,21,10,0.7236238323080427
29,5,21,10,0.5028190763484881
30,6,22,10,0.5411111111111111
31,6,21,9,0.48032524750791006
32,6,21,9,0.49399362438578126
33,6,21,10,0.5485610661268555
34,6,21,10,0.49143162393162393
35,7,22,10,0.5797465524671406
36,7,21,9,0.49219367377262113
37,7,21,9,0.6533678286129267
38,7,21,10,0.4247194626838589
39,7,21,10,0.5757700632700633
40,8,22,10,0.43868710237131286
41,8,21,9,0.38847829396075007
42,8,21,9,0.4651437070554718
43,8,21,10,0.497685691501481
44,8,21,10,0.5948675833969952
45,9,22,10,0.47185297244894764
46,9,21,9,0.3576624642414116
47,9,21,9,0.33074626802696977
48,9,21,10,0.6483061383061383
49,9,21,10,0.5976056786350904
