permutation,auprc
0,0.504419935
1,0.417412613
2,0.507439115
3,0.472096198
4,0.573741823
5,0.558451655
6,0.454217456
7,0.382633683
8,0.480671497
9,0.374414459
10,0.433082905
11,0.447049886
12,0.416963086
13,0.384626691
14,0.407627095
15,0.483151117
16,0.517441268
17,0.399217661
18,0.410658209
19,0.466213485
20,0.409358921
21,0.424252117
22,0.408646734
23,0.512689678
24,0.467495901
25,0.470425001
26,0.473742921
27,0.459177499
28,0.380515086
29,0.419671752
30,0.514113609
31,0.378991721
32,0.417782415
33,0.432657009
34,0.426807766
35,0.483905791
36,0.653113853
37,0.375633192
38,0.374364886
39,0.478207415
40,0.476864668
41,0.405389593
42,0.453221249
43,0.459956422
44,0.539407445
45,0.407588918
46,0.410712571
47,0.450594662
48,0.548751863
49,0.430704040
50,0.353315343
51,0.485753075
52,0.442866551
53,0.442820686
54,0.594053554
55,0.419139699
56,0.460477062
57,0.452415333
58,0.513350583
59,0.504211737
60,0.526059739
61,0.470289873
62,0.502795310
63,0.412990188
64,0.513300762
65,0.377387632
66,0.426987786
67,0.527028764
68,0.522550772
69,0.371053605
70,0.436013524
71,0.415676882
72,0.370776049
73,0.462015600
74,0.486465376
75,0.446399430
76,0.406172792
77,0.529664439
78,0.404259637
79,0.398255340
80,0.410055995
81,0.440077830
82,0.559729063
83,0.544798237
84,0.501999245
85,0.463063119
86,0.486476983
87,0.456443617
88,0.441522543
89,0.462354367
90,0.422001336
91,0.438302094
92,0.397716869
93,0.419579979
94,0.536468240
95,0.412119754
96,0.467500485
97,0.458365567
98,0.453340680
99,0.430405980
100,0.429102889
101,0.460837400
102,0.494123896
103,0.503039822
104,0.347991935
105,0.536137357
106,0.415944444
107,0.442038887
108,0.435795190
109,0.380888449
110,0.505022252
111,0.410424332
112,0.523982867
113,0.433839871
114,0.488790412
115,0.436164559
116,0.392953641
117,0.386038430
118,0.461466290
119,0.396622005
120,0.430379807
121,0.502221785
122,0.529063030
123,0.432564328
124,0.420947384
125,0.371491576
126,0.467447097
127,0.471660888
128,0.408321489
129,0.479096241
130,0.388530808
131,0.437506694
132,0.447275522
133,0.421412579
134,0.440502118
135,0.399554916
136,0.396268824
137,0.437220785
138,0.441680896
139,0.414325301
140,0.427598318
141,0.439348996
142,0.476556088
143,0.438038024
144,0.468672427
145,0.550352227
146,0.477374726
147,0.445281870
148,0.422588934
149,0.410486381
150,0.441139800
151,0.466070326
152,0.431290284
153,0.472949895
154,0.515542504
155,0.419799068
156,0.480891206
157,0.439561452
158,0.507827885
159,0.394058304
160,0.527929047
161,0.409887723
162,0.388742088
163,0.454871632
164,0.391870902
165,0.436834480
166,0.407053317
167,0.511074464
168,0.390364187
169,0.507232708
170,0.428791087
171,0.500241127
172,0.446824316
173,0.405772883
174,0.441978852
175,0.426308553
176,0.423306242
177,0.488837941
178,0.514693359
179,0.457588834
180,0.455690835
181,0.467422259
182,0.500750031
183,0.452033918
184,0.387012541
185,0.370552317
186,0.461686369
187,0.413077329
188,0.355997352
189,0.408488461
190,0.439722969
191,0.498230872
192,0.450740997
193,0.496585679
194,0.494017302
195,0.474653682
196,0.444996050
197,0.461663960
198,0.446107912
199,0.559372066
200,0.441665145
201,0.461092834
202,0.654920790
203,0.447787508
204,0.417262632
205,0.395500926
206,0.485886976
207,0.497776674
208,0.488003634
209,0.453132073
210,0.410415772
211,0.391195668
212,0.435303354
213,0.492562502
214,0.483942592
215,0.416355039
216,0.453307987
217,0.445724038
218,0.464739258
219,0.425099255
220,0.510317055
221,0.390903448
222,0.420578838
223,0.367284999
224,0.391112295
225,0.409729727
226,0.458546259
227,0.483202024
228,0.418603215
229,0.451549581
230,0.450374824
231,0.407864980
232,0.480724098
233,0.470679190
234,0.474438066
235,0.510201602
236,0.471799863
237,0.368061110
238,0.469537785
239,0.477354875
240,0.423459159
241,0.467202620
242,0.383501160
243,0.402669679
244,0.458678135
245,0.402787718
246,0.523036403
247,0.460747186
248,0.393199383
249,0.580944460
250,0.468156743
251,0.413427890
252,0.521947859
253,0.462657693
254,0.375713879
255,0.491138278
256,0.424151827
257,0.507884001
258,0.532035067
259,0.507432032
260,0.444298769
261,0.407852966
262,0.418602225
263,0.421610926
264,0.458341716
265,0.432541938
266,0.399572471
267,0.439705374
268,0.436330627
269,0.426315288
270,0.476678741
271,0.482281757
272,0.422799821
273,0.431153185
274,0.433485460
275,0.447216005
276,0.438630011
277,0.418755695
278,0.494002159
279,0.402311092
280,0.411720033
281,0.410958848
282,0.492801520
283,0.453862980
284,0.399961326
285,0.441506681
286,0.422660157
287,0.401078223
288,0.530484654
289,0.505050476
290,0.429889490
291,0.498241837
292,0.387819391
293,0.385448818
294,0.413148311
295,0.372807460
296,0.475536862
297,0.491688505
298,0.438959755
299,0.506611524
300,0.530983712
301,0.457321217
302,0.418225619
303,0.471600981
304,0.450730948
305,0.460043910
306,0.525202909
307,0.413567411
308,0.403432216
309,0.471609759
310,0.469642855
311,0.404648514
312,0.387383051
313,0.419500596
314,0.471345663
315,0.434949869
316,0.430773491
317,0.462587379
318,0.463887629
319,0.499540673
320,0.461572595
321,0.366642042
322,0.400939515
323,0.379128012
324,0.433515286
325,0.548226751
326,0.468467916
327,0.487611018
328,0.420561153
329,0.432450039
330,0.391091804
331,0.418177252
332,0.456005918
333,0.386126770
334,0.504629028
335,0.419592756
336,0.467127205
337,0.503183113
338,0.368704024
339,0.540990874
340,0.464497855
341,0.474028291
342,0.430847942
343,0.410236823
344,0.393301269
345,0.404641018
346,0.379105475
347,0.462207205
348,0.466975363
349,0.424435366
350,0.389422464
351,0.429046140
352,0.373591659
353,0.525772610
354,0.397900118
355,0.435063481
356,0.607199874
357,0.510448068
358,0.436901394
359,0.437335404
360,0.438363280
361,0.388766998
362,0.487618444
363,0.474731631
364,0.494348835
365,0.435196595
366,0.409028877
367,0.478395453
368,0.458434919
369,0.512687292
370,0.428433936
371,0.393525426
372,0.408314366
373,0.462076835
374,0.394346795
375,0.455138793
376,0.485679065
377,0.550363349
378,0.439233243
379,0.513472527
380,0.342740588
381,0.424891385
382,0.499137067
383,0.412926312
384,0.508743896
385,0.425556824
386,0.451089957
387,0.386520074
388,0.509457178
389,0.390907151
390,0.422783819
391,0.445709759
392,0.438652355
393,0.422885958
394,0.558092584
395,0.520507872
396,0.529736271
397,0.407810038
398,0.438951132
399,0.443108802
400,0.396257069
401,0.469460131
402,0.417782350
403,0.414439929
404,0.507497524
405,0.388430816
406,0.423459363
407,0.480329142
408,0.477481230
409,0.457601546
410,0.470030743
411,0.421698130
412,0.447384643
413,0.422383575
414,0.416141370
415,0.484774508
416,0.366251348
417,0.564601107
418,0.393606889
419,0.459598581
420,0.426392877
421,0.349639464
422,0.415193303
423,0.451330793
424,0.405406628
425,0.434069181
426,0.498924190
427,0.399224806
428,0.423451729
429,0.466827579
430,0.547313475
431,0.545059904
432,0.444167368
433,0.406582039
434,0.434534568
435,0.520793585
436,0.425795405
437,0.387741896
438,0.419741036
439,0.483250554
440,0.422776562
441,0.479409896
442,0.417061304
443,0.441482628
444,0.406320548
445,0.451440011
446,0.523108682
447,0.471237481
448,0.406056308
449,0.445517307
450,0.508000952
451,0.448594731
452,0.410065851
453,0.433950023
454,0.449362458
455,0.391994107
456,0.380224245
457,0.485425137
458,0.421923286
459,0.435075976
460,0.362130650
461,0.396879528
462,0.451420965
463,0.400152192
464,0.375823884
465,0.520778224
466,0.456579649
467,0.457313480
468,0.440135248
469,0.480325154
470,0.493601785
471,0.442192282
472,0.446767207
473,0.442575685
474,0.507268378
475,0.426178290
476,0.382701300
477,0.484986730
478,0.467157526
479,0.365167681
480,0.442219952
481,0.370875152
482,0.541296835
483,0.407762630
484,0.389361095
485,0.436062242
486,0.570547784
487,0.404439386
488,0.422694118
489,0.475628214
490,0.405499477
491,0.425323141
492,0.467768310
493,0.443218880
494,0.444392390
495,0.406399187
496,0.467934747
497,0.478835468
498,0.484928782
499,0.457602665
