description	filename	checksum
bcm-ucec-proteomics	bcm-ucec-proteomics-UCEC_proteomics_gene_abundance_log2_reference_intensity_normalized_Normal.txt.gz	af169cafba9673decfca03493c209efc
bcm-ucec-transcriptomics	bcm-ucec-transcriptomics-UCEC-gene_rsem_removed_circRNA_tumor_normal_UQ_log2(x+1)_BCM.txt.gz	c98263541e80b4f7d0c0aa972474321c
brca_mapping.csv	brca_mapping.csv	11862c117867a3d46d73d7c164f37324
broad-brca-mapping	broad-brca-mapping-gencode.v34.GRCh38.genes.collapsed_only.gtf.gz	9cb02cfb88d369f2f0c823c5e7510aeb
broad-brca-mapping	broad-brca-mapping-sample_descriptions.tsv.gz	5c87cd2a72ee3b86e59cba80c85968d9
broad-brca-transcriptomics	broad-brca-transcriptomics-BRCA.rsem_transcripts_tpm.txt.gz	784e98fe1c8b69eefb62500d0709069f
broad-ccrcc-mapping	broad-ccrcc-mapping-gencode.v34.GRCh38.genes.collapsed_only.gtf.gz	c8b1aa1f9a42ab2a7afb57684abd7928
broad-ccrcc-mapping	broad-ccrcc-mapping-sample_descriptions.tsv.gz	23002d7df1c9df1abb82e7d8e2e47638
broad-ccrcc-transcriptomics	broad-ccrcc-transcriptomics-CCRCC.rsem_transcripts_tpm.txt.gz	5a655cc385a824202deab297ab87fe07
broad-coad-mapping	broad-coad-mapping-gencode.v34.GRCh38.genes.collapsed_only.gtf.gz	cc84c17d289ad297d647a43872e1a9df
broad-coad-mapping	broad-coad-mapping-sample_descriptions.tsv.gz	90a2b1c03724cc97a4218ce13bc9ebf7
broad-coad-transcriptomics	broad-coad-transcriptomics-Colon.rsem_transcripts_tpm.txt.gz	b639e22f3dba2560de2461d2eb979b8b
broad-gbm-mapping	broad-gbm-mapping-gencode.v34.GRCh38.genes.collapsed_only.gtf.gz	0f246ba3d90eb97270fa630638fb35f1
broad-gbm-mapping	broad-gbm-mapping-sample_descriptions.tsv.gz	5ec9b2ab98d16812a6f873bb3a3f49ee
broad-gbm-transcriptomics	broad-gbm-transcriptomics-GBM.rsem_transcripts_tpm.txt.gz	9129c0ae7593c6584d6ab7fffbb612b7
broad-hnscc-mapping	broad-hnscc-mapping-gencode.v34.GRCh38.genes.collapsed_only.gtf.gz	85403759be8818c26aea675e4861d86f
broad-hnscc-mapping	broad-hnscc-mapping-sample_descriptions.tsv.gz	d5d228a7fd69b6a40708e41908d81504
broad-hnscc-transcriptomics	broad-hnscc-transcriptomics-HNSCC.rsem_transcripts_tpm.txt.gz	595872ccaeecbc41abc18ce48a0f6c36
broad-lscc-mapping	broad-lscc-mapping-gencode.v34.GRCh38.genes.collapsed_only.gtf.gz	b85df708b7fb1931952c518acc8557e9
broad-lscc-mapping	broad-lscc-mapping-sample_descriptions.tsv.gz	a1bcee2cc90673bb55ef58601e7eb731
broad-lscc-transcriptomics	broad-lscc-transcriptomics-LSCC.rsem_transcripts_tpm.txt.gz	55318e4a63c44194ae0d0b331f315d29
broad-luad-mapping	broad-luad-mapping-aliquot_to_patient_ID.tsv.gz	2b3c8737f1042b459d80c0957af2a3e9
broad-luad-mapping	broad-luad-mapping-gencode.v34.GRCh38.genes.collapsed_only.gtf.gz	b368d1fa94acb5f0ccf3d9c7fa4cd68b
broad-luad-mapping	broad-luad-mapping-sample_descriptions.tsv.gz	bfe71334a033406a2df78d573e120a0d
broad-luad-transcriptomics	broad-luad-transcriptomics-LUAD.rsem_transcripts_tpm.txt.gz	84474696325fe5ac23d4a979cb8a4d02
