cohort,label_column,status,tumor_samples,labeled_samples,class_count,smallest_class,class_sizes
LSCC,histologic_grade,not_eligible,110,110,4,1,"{""G2 Moderately differentiated"": 58, ""G3 Poorly differentiated"": 48, ""GX Grading is not applicable, cannot be assessed or not specified"": 3, ""G1 Well differentiated"": 1}"
LSCC,tumor_stage_pathological,not_eligible,110,110,5,1,"{""Stage II"": 44, ""Stage I"": 41, ""Stage III"": 21, ""Staging is not applicable or unknown"": 3, ""Stage IV"": 1}"
LSCC,histologic_type,not_eligible,110,110,9,1,"{""Squamous cell carcinoma"": 71, ""Keratinizing squamous cell carcinoma"": 18, ""Non-keratinizing squamous cell carcinoma"": 14, ""Basaloid squamous cell carcinoma"": 2, ""Adenosquamous carcinoma"": 1, ""Adenosquamous Carcinoma; at least 66% squamous component"": 1, ""Solid adenocarcinoma"": 1, ""Spindle cell carcinoma with undifferentiated non small carcinoma"": 1, ""adenosquamous carcinoma"": 1}"
LSCC,pathologic_staging_primary_tumor_pt,not_eligible,110,107,13,1,"{""pT2a"": 42, ""pT3"": 16, ""pT2b"": 15, ""pT1b"": 8, ""pT2"": 6, ""3"": 5, ""pT1a"": 4, ""pT1c"": 4, ""pT4"": 2, ""pT1"": 2, ""pT3A"": 1, ""2b"": 1, ""T1b"": 1}"
LSCC,pathologic_staging_regional_lymph_nodes_pn,not_eligible,110,107,8,1,"{""pN0"": 65, ""pN1"": 16, ""pN2"": 15, ""0"": 4, ""pNX"": 3, ""1"": 2, ""N1"": 1, ""N0"": 1}"
LUAD,histologic_grade,eligible,111,111,4,6,"{""G2 Moderately differentiated"": 59, ""G3 Poorly differentiated"": 39, ""G1 Well differentiated"": 7, ""GX Grading is not applicable, cannot be assessed or not specified"": 6}"
LUAD,tumor_stage_pathological,not_eligible,111,111,4,1,"{""Stage I"": 59, ""Stage II"": 30, ""Stage III"": 21, ""Stage IV"": 1}"
LUAD,histologic_type,not_eligible,111,111,19,1,"{""Adenocarcinoma"": 57, ""Acinar adenocarcinoma"": 25, ""Solid adenocarcinoma"": 7, ""not specified"": 4, ""Papillary adenocarcinoma"": 3, ""Lepidic adenocarcinoma"": 2, ""Adenocarcinoma, acinar predominant"": 1, ""Adenocarcinoma, micropapillary and acinar"": 1, ""Lepidic adenocarcinoma, Invasive mucinous adenocarcinoma"": 1, ""Squamous cell carcinoma"": 1, ""Adenocaricnoma, mixed sub-type (solid and acinar)"": 1, ""Mixed acinar and micropapillary adenocarcinoma"": 1, ""Adenosquamous carcinoma (approx. 75% adeno, 25% squamous)"": 1, ""Acinar adenocarcinoma and papillary adenocarcinoma"": 1, ""Adenocarcinoma, mixed subtype"": 1, ""Adenosquamous carcinoma"": 1, ""Colloid adenocarcinoma"": 1, ""adenocarcinoma with neuroendocrine differentiation"": 1, ""squamous versus adenocarcinoma pending IHC"": 1}"
LUAD,pathologic_staging_primary_tumor_pt,not_eligible,111,111,6,1,"{""pT2a"": 62, ""pT1b"": 19, ""pT3"": 13, ""pT1a"": 9, ""pT2b"": 7, ""pT2a: Tumor> 3 cm but <= 4 cm in greatest dimension or tumor involving the main bronchus, invading the visceral pleura and with associated atelectasis or obstructive pneumonitis"": 1}"
LUAD,pathologic_staging_regional_lymph_nodes_pn,not_eligible,111,111,4,1,"{""pN0"": 74, ""pN2"": 19, ""pN1"": 17, ""pNO: No regional node involvement"": 1}"
UCEC,histologic_grade,not_eligible,103,103,4,1,"{""G2 Moderately differentiated"": 42, ""G1 Well differentiated"": 33, ""G3 Poorly differentiated"": 27, ""GX Grading is not applicable, cannot be assessed or not specified"": 1}"
UCEC,tumor_stage_pathological,not_eligible,103,103,4,3,"{""Stage I"": 76, ""Stage III"": 15, ""Stage II"": 9, ""Stage IV"": 3}"
UCEC,histologic_type,not_eligible,103,103,4,1,"{""Endometrioid carcinoma"": 80, ""Serous carcinoma"": 21, ""Clear cell carcinoma"": 1, ""Mixed cell adenocarcinoma"": 1}"
UCEC,pathologic_staging_primary_tumor_pt,not_eligible,103,103,8,1,"{""pT1a (FIGO IA)"": 58, ""pT1b (FIGO IB)"": 19, ""pT2 (FIGO II)"": 12, ""pT3a (FIGO IIIA)"": 8, ""pT3b (FIGO IIIB)"": 3, ""pT1 (FIGO I)"": 1, ""pT1a"": 1, ""pT1b"": 1}"
UCEC,pathologic_staging_regional_lymph_nodes_pn,not_eligible,103,103,5,1,"{""pN0"": 49, ""pNX"": 44, ""pN1 (FIGO IIIC1)"": 6, ""pN2 (FIGO IIIC2)"": 3, ""0"": 1}"
