pretrain_sample_id,cohort,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32,latent_33,latent_34,latent_35,latent_36,latent_37,latent_38,latent_39,latent_40,latent_41,latent_42,latent_43,latent_44,latent_45,latent_46,latent_47,latent_48,latent_49,latent_50,latent_51,latent_52,latent_53,latent_54,latent_55,latent_56,latent_57,latent_58,latent_59,latent_60,latent_61,latent_62,latent_63
LSCC:C3L-00081,LSCC,4.6626725,30.24019,-6.4266176,5.7131515,-6.1910253,12.271769,-3.0953758,4.08433,3.8943048,14.3129015,5.5708165,0.5830683,9.842423,-6.029661,-28.839457,-9.067527,-11.972067,-4.035731,-10.937699,13.179291,-8.623205,3.4163716,-17.583368,-5.250427,11.502896,4.8974924,-18.863358,-10.092132,10.0632515,14.911171,9.543756,-15.982287,4.193158,-3.161817,18.327406,14.574271,-12.166876,-17.051224,0.07597701,-13.546842,-6.9376364,-30.831886,-20.717329,-24.598324,-8.197388,15.387157,13.185808,-5.9985733,11.804454,-9.42609,16.417332,-6.1480203,-6.597177,7.360304,-4.5985937,15.873707,-15.073219,-4.000737,-2.003736,20.35228,-5.2938952,38.945713,-18.263594,23.633766
LSCC:C3L-00415,LSCC,62.83453,33.200783,-16.469296,-25.635405,-56.053726,-4.1772413,38.680515,44.288296,18.250387,-16.122032,24.071,34.551903,4.082442,-8.745487,-10.852743,20.957024,-17.39269,-15.376069,28.5764,52.66747,15.138607,8.740891,2.9897475,-4.687931,-65.91838,13.456015,-67.588875,7.4182553,-24.069893,-2.5603666,-23.341202,-18.902857,0.018800825,19.871956,-32.78221,53.18737,-51.610214,-4.2700315,25.713095,-33.689266,-9.687929,-1.500325,-29.285818,4.63218,9.943667,-15.446967,-31.855158,-37.599064,52.35849,-43.11813,-9.462609,0.4613423,-9.68461,-27.200775,-3.0350554,-4.0067816,-4.45485,-40.237377,-37.87779,43.88851,-10.479435,84.503494,-29.380503,-15.485655
LSCC:C3L-00445,LSCC,-4.469305,14.577722,-4.7160525,23.011454,-16.504238,-3.5039358,-1.4371827,-1.3169464,14.750692,4.9633403,6.219888,1.50074,-11.422171,7.3633447,-15.305604,-6.2154727,0.61402255,-0.8657094,-6.2507296,9.589309,13.7843275,13.9628725,-7.061526,21.081148,5.419009,19.363535,-2.0114245,-22.606075,5.238505,-9.385121,-27.116198,18.67203,-7.8663883,9.368879,10.292505,3.0035195,-11.38541,-6.190494,10.367151,-9.255696,9.575638,-14.2888,-14.310712,-28.200075,2.574499,8.129639,-6.0748377,-3.7584171,-4.4522767,-13.911292,2.9972022,7.799483,-14.717939,2.5304346,10.192745,0.19166407,-0.6091187,0.9587611,-26.918127,-17.811602,3.4342954,7.252447,5.539416,-7.9373612
LSCC:C3L-00568,LSCC,0.0788178,22.286821,-10.720681,2.2627518,-2.347863,-54.252583,-4.5811577,30.365509,10.737466,7.75536,3.352001,14.201203,29.438667,7.5003653,-4.5782156,0.66299903,-5.853948,10.396991,-30.984041,-7.4006157,6.5073156,-0.63554645,-13.853897,-10.228792,-7.841243,1.3477927,-28.111122,-24.137571,1.2331511,11.975328,-46.38709,-12.076055,3.7757463,18.155388,5.931474,-4.5299673,10.949326,-3.864042,-1.6854894,-8.232728,26.502728,-35.931698,-4.6742196,-30.349537,-14.123262,6.2630816,-1.0759844,-15.944821,-2.6843417,-11.683449,-4.924292,-7.3479824,1.5551896,-10.603541,-7.9643726,-0.8219611,-4.077045,7.988882,-21.818676,-8.361227,-5.05621,1.7433441,10.174336,2.1803856
LSCC:C3L-00603,LSCC,-12.819537,2.1013074,5.2499804,-7.162158,-30.317633,7.7102814,1.8158205,1.1339267,-17.524717,-2.8864553,30.216047,-0.7755211,-1.1682937,37.167923,-19.93344,21.299301,-5.197737,-4.869723,6.924024,27.67958,-11.420312,4.042666,8.350041,11.088413,6.904721,14.627893,-27.544594,-3.971387,-0.11622143,1.6188408,6.5235033,-21.675613,-12.797416,-22.247454,-9.862662,28.602562,-21.920135,-3.3488567,17.462688,-1.341792,-9.454055,5.5295806,-50.38887,-38.113335,-16.647926,2.0129375,1.1511804,5.0739245,25.738203,-3.0467503,-11.557193,-11.74323,6.982346,-8.421594,-12.096764,10.438766,1.6943039,-10.432126,-14.190066,2.9994502,-13.084039,36.06032,-5.2171082,7.805512
LSCC:C3L-00904,LSCC,-14.475674,19.891531,-5.4476676,2.2606478,4.312251,-37.116016,-3.361785,10.798157,-9.38022,9.866138,-9.229969,22.886301,5.5315733,19.586014,-12.59952,1.1433516,-4.1470585,-0.8217584,-15.020871,-3.4556122,14.175512,-0.8928449,3.5868096,-0.44117904,11.338508,12.635935,0.84334224,-31.491764,7.959656,3.7542264,-23.06563,0.8873541,-5.092577,16.071712,11.092188,1.9966965,-9.807494,-1.1676314,8.692247,3.2699761,26.564865,-17.132189,-11.5150795,-18.141178,-14.252454,-8.61532,-2.4020507,0.71053886,-0.02990754,4.1412992,-11.044558,-11.180321,-5.308985,2.1835685,4.453043,2.9279015,2.919931,5.3539963,-19.868093,-4.75381,-2.283017,0.043903276,-6.569342,-3.0597458
LSCC:C3L-00923,LSCC,20.360783,8.33854,7.80317,-23.787548,-26.241545,8.986387,-0.9373234,28.722113,-16.775614,11.64817,2.2988706,24.626715,26.438562,-11.320613,-12.388356,31.267696,-31.608515,24.187878,-28.417322,10.903729,-28.385492,-24.140907,7.022438,2.4453773,-12.855103,23.691633,-49.43035,18.90867,-7.605864,26.041763,33.426563,23.701075,-16.19102,34.54252,6.7734623,89.92543,7.8705707,5.191129,-8.889307,-7.9167986,-51.84847,-7.1961155,-29.572414,-30.072445,-14.636464,-49.070225,14.823148,14.553122,50.34528,-2.6551297,-22.263165,-6.345407,11.462404,-14.202842,-30.282978,-24.356083,34.16834,-2.6991007,-36.206203,4.2975745,16.24402,85.91797,8.91587,-27.260263
LSCC:C3L-00927,LSCC,38.468723,43.027523,-2.954725,34.792225,0.10939488,3.1126912,12.861468,10.777753,12.220004,18.641169,5.175501,-1.3028901,22.38201,-14.526436,-14.55618,24.77518,-42.967175,26.85595,-33.85025,8.4926405,32.639545,-14.670123,8.220183,5.40175,7.8891983,42.158432,-6.5539403,-36.20339,11.986154,42.4408,14.506948,-47.04099,35.562435,-8.64389,8.347105,-10.950953,-31.222803,6.5015264,-0.14308424,-2.7319067,8.243519,-23.359686,-14.7917595,-61.08217,12.131166,5.301249,-6.5339384,-22.85315,34.557068,-14.297425,-15.647837,16.568035,-19.106812,41.58522,1.6355686,-14.647565,6.798475,-11.875744,-40.35844,-8.4708395,23.495768,66.20987,-27.331133,28.304434
LSCC:C3L-00965,LSCC,-10.909683,-3.5782492,-0.99660075,-5.6866255,-7.839617,-1.1411414,-8.714514,2.653506,-0.32109952,6.0768228,1.1977143,6.039146,12.578683,13.24598,0.9867074,23.541649,-5.9270535,-9.667985,-5.850375,12.788033,-2.1025662,11.203937,-12.442989,3.0952132,13.029228,13.220584,-36.201134,-3.7589355,7.7200766,8.136783,-9.067457,-0.9538792,-7.0653906,-24.71042,2.3403475,11.798669,-2.7778432,-5.8884497,-11.914309,-14.69198,-11.981683,-11.742416,-26.435562,-30.912127,-5.9215503,4.5105915,3.7938097,-3.326448,16.090557,-13.396364,-1.3375701,-13.486574,0.56183535,0.6352829,-3.1172154,19.22169,-3.534007,-15.073593,-14.911989,-6.3165236,12.247572,-4.236495,2.2666311,7.7965884
LSCC:C3L-00993,LSCC,0.36139548,4.449339,5.5574055,-10.963154,-27.870367,-10.949785,12.61069,18.267172,7.3183484,6.8455386,14.896796,28.808754,11.453289,5.528527,-20.305744,10.060906,2.5099716,-6.912448,14.5716505,25.51403,1.8852817,8.145485,4.510247,3.2362373,-2.1980917,12.6636715,-35.092197,-15.087554,0.1125257,11.292915,-13.709088,-20.123789,3.577794,5.7477674,11.946281,30.110258,-5.2009444,-4.441898,12.05646,-18.250837,-7.6866136,-10.110152,-46.47068,-29.085562,-7.5595727,-2.4868135,3.5000222,-11.758145,16.20726,-13.61464,8.895013,23.754969,-1.4043512,-10.785523,1.2877834,4.1196065,5.705282,6.2977314,-22.984684,5.9934425,8.532453,33.0375,-5.2934694,12.487989
