repeat,fold,model,n_features,n_train,n_test,average_precision,matthews_corrcoef,balanced_accuracy,f1
0,0,raw_logistic,43647,85,21,0.6093976523801086,0.2041241452319315,0.5972222222222222,0.5
0,0,pca_logistic,64,85,21,0.46290563008829266,0.0,0.5,0.375
0,0,frozen_encoder_logistic,64,85,21,0.43359449192782523,-0.08492077756084468,0.45833333333333337,0.35294117647058826
0,1,raw_logistic,43647,84,22,0.4549092084386202,-0.18257418583505536,0.4083333333333333,0.38095238095238093
0,1,pca_logistic,64,84,22,0.4527024446142093,-0.1,0.45,0.4
0,1,frozen_encoder_logistic,64,84,22,0.6554373455921443,0.035634832254989916,0.5166666666666666,0.56
0,2,raw_logistic,43647,85,21,0.41856709013571763,-0.027777777777777776,0.48611111111111116,0.47619047619047616
0,2,pca_logistic,64,85,21,0.4580973129992738,-0.13762047064079508,0.4305555555555556,0.4
0,2,frozen_encoder_logistic,64,85,21,0.36530999864333197,-0.3302891295379082,0.3333333333333333,0.3
0,3,raw_logistic,43647,85,21,0.5097474747474747,-0.21968621277986813,0.41363636363636364,0.14285714285714285
0,3,pca_logistic,64,85,21,0.46950437934958056,-0.06741998624632421,0.46818181818181814,0.35294117647058826
0,3,frozen_encoder_logistic,64,85,21,0.401286262756851,-0.3919647479510927,0.3227272727272727,0.125
0,4,raw_logistic,43647,85,21,0.6733088235294117,0.045454545454545456,0.5227272727272727,0.5
0,4,pca_logistic,64,85,21,0.5471428571428572,0.03739787960033829,0.5181818181818182,0.4444444444444444
0,4,frozen_encoder_logistic,64,85,21,0.6254028865870971,0.1589409883014377,0.5772727272727273,0.6086956521739131
1,0,raw_logistic,43647,84,22,0.5920836181362497,0.26666666666666666,0.6333333333333333,0.6
1,0,pca_logistic,64,84,22,0.5987621202327085,0.18257418583505536,0.5916666666666667,0.5714285714285714
1,0,frozen_encoder_logistic,64,84,22,0.45657851651272696,-0.2772413120334688,0.3833333333333333,0.13333333333333333
1,1,raw_logistic,43647,85,21,0.7058450865726407,0.4403855060505442,0.7222222222222222,0.7
1,1,pca_logistic,64,85,21,0.6568627450980393,0.13762047064079508,0.5694444444444444,0.5263157894736842
1,1,frozen_encoder_logistic,64,85,21,0.5300792087169797,-0.31137618438976383,0.3472222222222222,0.36363636363636365
1,2,raw_logistic,43647,85,21,0.4591893727187845,-0.24771684715343112,0.37727272727272726,0.3157894736842105
1,2,pca_logistic,64,85,21,0.41640692640692645,-0.14545454545454545,0.42727272727272725,0.4
1,2,frozen_encoder_logistic,64,85,21,0.4560178220472338,-0.05504818825631803,0.4727272727272727,0.42105263157894735
1,3,raw_logistic,43647,85,21,0.5558285940638882,0.0700140042014005,0.5277777777777778,0.3076923076923077
1,3,pca_logistic,64,85,21,0.4535441954559602,-0.17503501050350123,0.4305555555555556,0.15384615384615385
1,3,frozen_encoder_logistic,64,85,21,0.4736380960323169,0.13762047064079508,0.5694444444444444,0.5263157894736842
1,4,raw_logistic,43647,85,21,0.5033549783549783,-0.21968621277986813,0.41363636363636364,0.14285714285714285
1,4,pca_logistic,64,85,21,0.4263246965452848,-0.21968621277986813,0.41363636363636364,0.14285714285714285
1,4,frozen_encoder_logistic,64,85,21,0.6009523809523809,0.045454545454545456,0.5227272727272727,0.5
2,0,raw_logistic,43647,84,22,0.42890914125434254,-0.016878989451394443,0.4916666666666667,0.42105263157894735
2,0,pca_logistic,64,84,22,0.4178944666444667,-0.38821675738207223,0.30833333333333335,0.21052631578947367
2,0,frozen_encoder_logistic,64,84,22,0.5897418757712876,0.0,0.5,0.47619047619047616
2,1,raw_logistic,43647,85,21,0.5425091136933242,0.13762047064079508,0.5681818181818181,0.5263157894736842
2,1,pca_logistic,64,85,21,0.4676485554349331,0.13762047064079508,0.5681818181818181,0.5263157894736842
2,1,frozen_encoder_logistic,64,85,21,0.496827485380117,-0.06741998624632421,0.46818181818181814,0.35294117647058826
2,2,raw_logistic,43647,85,21,0.5479181393655077,-0.13762047064079508,0.4305555555555556,0.4
2,2,pca_logistic,64,85,21,0.6375609503060484,0.24771684715343112,0.625,0.6
2,2,frozen_encoder_logistic,64,85,21,0.43903931943147634,-0.408248290463863,0.3055555555555555,0.34782608695652173
2,3,raw_logistic,43647,85,21,0.6085288812494695,0.045454545454545456,0.5227272727272727,0.5
2,3,pca_logistic,64,85,21,0.5258256122962005,0.1589409883014377,0.5772727272727273,0.6086956521739131
2,3,frozen_encoder_logistic,64,85,21,0.41871947496947504,-0.14545454545454545,0.42727272727272725,0.4
2,4,raw_logistic,43647,85,21,0.4238136863136863,-0.16666666666666666,0.41666666666666663,0.3333333333333333
